,symbol,name,price,volume_24,perc_change_24h,market_cap,perc_change_1h,volume_24h
169,ANT,Aragon,4.88838554532895,,4.76072889,193626618.75945356,0.57038701,28755846.64877977
170,ORBS,Orbs,0.08539557270736,,2.3148565,190427901.61087927,-0.0692521,634846.87896398
171,DODO,DODO,1.71555007781529,,8.94035427,189657432.1583832,1.69565696,27503971.23940123
172,AMPL,Ampleforth,0.90938575252326,,7.44438243,186688915.75847968,-0.337162,2266258.97287797
173,MED,MediBloc,0.06774809044769,,4.10954147,185503179.91743284,-0.78988778,156154.44784482
174,BAND,Band Protocol,8.86136234508407,,5.79804445,181605048.04950297,0.11845735,69274669.5215052
175,MCO,MCO,11.48113419748814,,3.56732776,181331094.29373124,-1.3000118,1372393.35184562
176,UBT,Unibright,1.2010497298793,,1.60896566,180157458.57329288,0.18200109,968814.19625267
177,ZB,ZB Token,0.38820377871449,,3.62548168,179850466.67813942,-0.53003425,5563407.35432598
178,BTS,BitShares,0.05938831672573,,3.33194866,177861475.87872154,0.51787035,14534991.36520266
179,HIVE,Hive,0.43113461553243,,3.88410323,174874236.30844867,0.28102757,3554540.28503422
180,ZKS,ZKSwap,0.87281557152453,,3.34639114,172328706.44180322,-0.11344714,12906432.32454779
181,VLX,Velas,0.08047172155791,,-1.9444896,170952569.19594425,-0.31294848,2430973.96017756
182,HXRO,Hxro,0.75109715351548,,4.91436721,168766477.10798466,-0.69842867,2104647.59057539
183,COTI,COTI,0.25480957022733,,12.78481775,170656222.26223972,0.82776157,40986218.9075766
184,WIN,WINkLink,0.00052808472302,,3.2157206,165611367.47287878,-0.11304049,30869735.8152026
185,MONA,MonaCoin,2.45650809640893,,8.40471263,161465478.4953508,0.93048662,11333882.66955498
186,XHV,Haven Protocol,10.82166234931681,,15.37751499,159573074.11649927,3.71307155,1263162.07603598
187,ARK,Ark,1.22949618131588,,5.90165496,159288161.55474484,-0.17300135,6454610.74944239
188,JST,JUST,0.07018848256396,,5.65963368,158648901.59293413,-0.11543838,17920336.14888651
189,WAN,Wanchain,0.93521298425459,,6.46362989,158077723.8245148,-0.3719506,5587201.48961978
190,POLY,Polymath,0.25407226813923,,5.17246633,157210814.72920647,-0.26761707,2613833.50727693
191,MTL,Metal,2.32336026564281,,7.81888917,152386516.6212083,-0.12871829,18100455.99036955
192,XOR,Sora,430.1826968056737,,8.57075352,150563943.88198578,-1.32765364,3371445.94652756
193,BORA,BORA,0.17588696297482,,0.14395912,150074539.24170223,0.22031688,325494.90343479
194,UTK,Utrust,0.32862117930935,,2.82528819,147879530.6892075,0.05978391,7978055.12479096
195,RIF,RSK Infrastructure Framework,0.2010696712345,,2.02763446,147154851.4305595,0.3182227,1615203.63233719
196,AVA,Travala.com,2.94697207328987,,3.84709156,146398950.04407537,0.72903663,5390937.82834513
197,FX,Function X,0.41249205520056,,-0.51750324,148056521.7196486,-0.0634943,459978.28772069
198,DIVI,Divi,0.06197943025718,,-3.30641992,144288576.35503018,0.41694732,717849.05743966
199,PHA,Phala Network,0.80148291413545,,19.38705395,142370920.79673177,1.96403527,31646683.09970739
200,HEX,HEX,0.05415021003002,,2.91051272,9390246100.998896,-1.68583584,25669095.45452489
201,CTC,Creditcoin,4.74993263013311,,-1.5754118,2683572075.2518444,0.89985219,10678213.68334503
202,SAFEMOON,SafeMoon,4.49566832e-06,,6.43649352,2632377292.6450343,-1.58800202,23268009.37670263
203,WBNB,Wrapped BNB,409.37300959787626,,17.26250393,2540618543.116729,0.0131422,944595212.9367472
204,FIDA,Bonfida,2.06940364749519,,9.24888894,2067534429.6789386,-0.6992444,802035.86473301
205,FEI,Fei Protocol,1.00013763368932,,-0.14903788,2041710402.4473498,0.09633098,63108215.60844256
206,CCXX,Counos X,102.20764981734527,,-0.46116388,1823454501.4513972,-0.04709119,2582489.33507371
207,AMP,Amp,0.03952098101792,,6.91915133,1668880216.523285,0.7719812,3372417.67789359
208,TTT,The Transfer Token,14.99840840820206,,2.59616471,1575385642.388993,-0.10369296,5950011.39626119
209,DFI,DeFiChain,3.16035184120505,,5.93996016,1337597587.1336415,-0.16968901,3510650.36040977
210,STETH,stETH (Lido),2726.9684012299626,,6.94147963,1238953555.0566561,-2.44421887,3127.0512018
211,XYM,Symbol,0.22686165485078,,12.07762091,1228172088.594792,-0.06437713,7431241.33787599
212,HBTC,Huobi BTC,37867.36408134306,,5.26779738,1208210260.324743,-0.34703019,35052067.11912516
213,ARRR,Pirate Chain,5.58243971905492,,22.78432179,1017090769.6448997,-1.97156223,3612441.92389751
214,XWC,WhiteCoin,1.23252578574417,,-0.06713598,893196731.6636503,-0.06475627,30400241.2088648
215,LUSD,Liquity USD,1.01481161396401,,0.28969769,730102252.6302254,-0.03775416,381476.81200495
216,THR,ThoreCoin,8304.827958230266,,4.85188192,719912494.9409499,-0.08852191,28711.77835443
217,vBNB,Venus BNB,8.32854667026194,,17.35651088,702322146.2751123,0.34857868,0.0
218,NXM,NXM,105.68553695713977,,8.16537414,677954304.168751,-0.17874486,34024.40884787
219,INO,INO COIN,3.56805327383122,,7.90558092,642260935.6990304,0.09230262,128846.82805322
220,BEST,Bitpanda Ecosystem Token,1.37992819996693,,-1.19487147,543948569.242184,-0.3839938,114790.5496127
221,ORC,Orbit Chain,1.1658889257076,,2.82524936,543289837.1538423,3.84814036,9013942.89713822
222,MINA,Mina,3.36726992647045,,14.79278592,500439096.64992684,0.17766183,47800032.34776897
223,OMI,ECOMI,0.00275290560047,,3.77218455,457769168.44922143,-2.33728364,3193576.96281396
224,BOTX,botXcoin,0.2677,,0.20587685,436916464.0485,-0.26080477,78629.45971
225,PUNDIX,Pundi X[new],1.67992912396306,,3.29010125,434247629.683571,-0.83520221,15097102.47496874
226,ZLW,Zelwin,5.98520644946911,,-0.41695127,423056316.6717995,-0.01376632,229349.3947713
